capa5;niscode
11001;11001
11002;11002
11003;11002
11004;11004
11005;11005
11006;11002
11007;11007
11008;11008
11009;11009
11010;11035
11011;11056
11012;11002
11013;11013
11014;11002
11015;11035
11016;11016
11017;11055
11018;11018
11019;11002
11020;11044
11021;11021
11022;11022
11023;11023
11024;11024
11025;11025
11026;11053
11027;11054
11028;11002
11029;11029
11030;11030
11031;11035
11032;11057
11033;11054
11034;11054
11035;11035
11036;11037
11037;11037
11038;11038
11039;11039
11040;11040
11041;11039
11042;11009
11043;11009
11044;11044
11045;11037
11046;11054
11047;11004
11048;11024
11049;11057
11050;11050
11051;11002
11052;11052
11053;11053
11054;11054
11055;11055
11056;11056
11302;11002
11303;11002
11312;11002
11313;11002
11322;11008
11323;11008
11324;11008
11332;11009
11333;11009
11342;11002
11343;11002
11344;11002
11345;11002
11346;11002
11362;11023
11363;11002
11364;11002
11372;11001
11382;11002
11383;11002
11422;11002
11423;11002
11442;11040
11443;11040
11453;11055
11462;11002
11463;11002
11472;11013
11512;11029
11513;11029
11602;11024
11622;11005
11642;11016
11643;11016
11662;11022
11682;11053
11802;11002
11803;11002
11804;11002
11805;11002
11806;11002
11807;11002
11808;11002
11809;11002
11810;11002
11811;11002
11812;11002
11813;11002
11814;11002
11815;11002
11816;11002
11817;11002
11818;11002
11819;11002
11820;11002
11902;11023
11922;11039
12001;12029
12002;12002
12003;12026
12004;12040
12005;12005
12006;12014
12007;12007
12008;12041
12009;12009
12011;12014
12012;12025
12013;12040
12014;12014
12015;12007
12016;12025
12017;12014
12018;12026
12019;12021
12020;12025
12021;12021
12022;12041
12023;12041
12024;12007
12025;12025
12026;12026
12027;12035
12028;12041
12029;12029
12030;12041
12031;12005
12032;12041
12033;12014
12034;12041
12035;12035
12036;12040
12037;12025
12038;12007
12039;12014
12040;12040
12302;12009
12322;12014
12342;12040
12362;12007
12392;12021
12393;12021
12402;12025
12403;12025
12404;12025
12409;12025
12422;12035
12429;12029
12502;12002
13001;13001
13002;13002
13003;13003
13004;13004
13005;13010
13006;13006
13007;13053
13008;13008
13009;13019
13010;13010
13011;13011
13012;13012
13013;13013
13014;13014
13015;13016
13016;13016
13017;13017
13018;13017
13019;13019
13020;13014
13021;13021
13022;13014
13023;13023
13024;13014
13025;13025
13026;13011
13027;13011
13028;13049
13029;13029
13030;13003
13031;13031
13032;13019
13033;13035
13034;13013
13035;13035
13036;13036
13037;13037
13038;13017
13039;13049
13040;13040
13041;13053
13042;13053
13043;13004
13044;13044
13045;13053
13046;13046
13047;13019
13048;13035
13049;13049
13050;13016
13051;13014
13052;13049
13302;13011
13322;13001
13342;13003
13372;13008
13373;13008
13374;13008
13375;13008
13376;13008
13392;13013
13432;13025
13433;13025
13434;13025
13435;13025
13452;13040
13453;13040
13454;13040
13462;13021
13482;13031
13483;13031
13502;13037
13632;13036
22001;23098
22002;23099
22003;23100
22004;23101
22005;23102
22006;23103
22302;23103
22552;23101
22662;23102
23001;23003
23002;23002
23003;23003
23004;23064
23005;23025
23006;23002
23007;23064
23008;23038
23009;23009
23010;23064
23011;23097
23012;23052
23013;23027
23014;23038
23015;23047
23016;23016
23017;23003
23018;23096
23019;23064
23020;23096
23021;23105
23022;23104
23023;23023
23024;23024
23025;23025
23026;23016
23027;23027
23028;23052
23029;23064
23030;23105
23031;23032
23032;23032
23033;23033
23034;23096
23035;23003
23036;23025
23037;23016
23038;23038
23039;23039
23040;23024
23041;23002
23042;23024
23043;23027
23044;23044
23045;23045
23046;23003
23047;23047
23048;23045
23049;23060
23050;23050
23051;23081
23052;23052
23053;23002
23055;23038
23056;23039
23057;23094
23058;23024
23060;23060
23061;23077
23062;23062
23064;23064
23065;23081
23066;23088
23067;23039
23068;23002
23069;23077
23070;23016
23071;23086
23072;23104
23073;23077
23074;23016
23075;23104
23076;23032
23077;23077
23078;23094
23079;23016
23080;23045
23081;23081
23082;23094
23084;23025
23085;23105
23086;23086
23087;23023
23088;23088
23089;23077
23090;23023
23091;23086
23092;23096
23093;23050
23094;23094
23095;23002
23096;23096
23097;23097
23322;23002
23352;23016
23402;23025
23403;23025
23412;23027
23413;23027
23542;23062
23543;23062
23544;23062
23546;23062
23582;23077
23583;23077
23602;23052
23642;23088
23643;23088
23644;23088
23645;23088
23722;23097
23723;23097
23752;23060
23762;23044
23772;23094
24001;24001
24002;24008
24003;24059
24004;24137
24005;24134
24006;24109
24007;24007
24008;24008
24009;24009
24010;24007
24011;24011
24012;24066
24013;24086
24014;24014
24015;24107
24016;24016
24017;24130
24018;24137
24019;24020
24020;24020
24021;24130
24022;24133
24023;24104
24024;24059
24025;24055
24026;24055
24027;24059
24028;24028
24029;24001
24030;24137
24031;24107
24032;24028
24033;24033
24034;24086
24035;24107
24036;24130
24037;24130
24038;24062
24039;24014
24040;24062
24041;24041
24042;24054
24043;24043
24044;24135
24045;24045
24046;24020
24047;24137
24048;24048
24049;24016
24050;24054
24051;24062
24052;24009
24053;24011
24054;24054
24055;24055
24056;24043
24057;24107
24058;24059
24059;24059
24060;24001
24061;24009
24062;24062
24063;24066
24064;24045
24065;24011
24066;24066
24067;24135
24068;24055
24070;24133
24071;24134
24072;24008
24073;24020
24074;24133
24075;24045
24076;24059
24077;24133
24079;24059
24080;24043
24081;24107
24082;24107
24084;24133
24085;24045
24086;24086
24087;24041
24088;24133
24089;24059
24090;24066
24091;24054
24092;24001
24093;24016
24094;24094
24095;24028
24096;24059
24097;24020
24098;24134
24099;24045
24100;24086
24101;24135
24102;24107
24103;24043
24104;24104
24105;24134
24106;24135
24107;24107
24108;24033
24109;24109
24110;24086
24111;24038
24113;24107
24114;24104
24115;24054
24118;24059
24119;24059
24120;24020
24121;24094
24122;24033
24123;24094
24126;24062
24127;24038
24128;24133
24129;24134
24130;24130
24131;24016
24302;24104
24403;24134
24422;24038
24423;24038
24432;24062
24433;24062
24434;24062
24472;24048
24482;24062
24483;24062
24502;24062
24504;24062
24505;24062
24514;24062
24592;24107
24593;24107
24594;24107
24652;24001
24662;24001
24702;24016
24712;24041
24713;24011
24714;24016
24732;24059
24733;24059
24734;24059
31001;31040
31002;31005
31003;31003
31004;31004
31005;31005
31006;31006
31007;31005
31008;31043
31009;31022
31010;31006
31011;31042
31012;31012
31013;31043
31014;31005
31015;31006
31016;31005
31017;31040
31018;31042
31019;31006
31020;31042
31021;31003
31022;31022
31023;31006
31024;31043
31025;31022
31026;31006
31027;31005
31028;31003
31029;31005
31030;31005
31031;31012
31032;31012
31033;31033
31034;31004
31035;31012
31036;31040
31037;31022
31038;35029
31039;31043
31040;31040
31041;31012
31042;31042
31302;31005
31332;31043
31333;31043
31334;31043
31336;31043
31337;31043
31338;31043
31362;31005
31402;31022
31403;31022
31422;31005
31423;31005
31424;31005
31425;31005
31432;31006
31433;31005
31434;31005
31442;31012
31462;31042
31512;31005
31522;31033
31523;31033
31524;31033
31602;31004
31802;31005
31803;31005
31804;31005
31805;31005
31806;31005
31807;31005
31808;31005
31810;31005
31811;31005
31812;31005
31813;31005
32001;32003
32002;32010
32003;32003
32005;32011
32006;32006
32008;32003
32009;32006
32010;32010
32011;32011
32012;32003
32013;32003
32014;32030
32015;32006
32016;32003
32017;32030
32018;32003
32019;32003
32020;32030
32021;32030
32022;32003
32023;32003
32024;32003
32025;32011
32026;32003
32027;32011
32306;32006
32472;32003
32473;32003
33001;33037
33002;33040
33003;33011
33004;33011
33005;33011
33006;33039
33007;33011
33008;33037
33009;33029
33010;33011
33011;33011
33012;33039
33013;33021
33014;33040
33015;33039
33016;33016
33017;33039
33018;33041
33019;33037
33020;33040
33021;33021
33022;33021
33023;33021
33024;33021
33025;33011
33026;33011
33027;33011
33028;33021
33029;33029
33030;33039
33031;33041
33032;33039
33033;33041
33034;33039
33035;33037
33036;33011
33037;33037
33038;33011
33302;33011
33303;33011
33304;33011
33305;33011
33306;33011
33312;33021
33313;33021
34001;34022
34002;34002
34003;34003
34004;34013
34005;34022
34006;34040
34007;34022
34008;34003
34009;34009
34010;34040
34011;34002
34012;34041
34013;34013
34014;34042
34015;34043
34016;34022
34017;34013
34018;34002
34019;34002
34020;34003
34021;34022
34022;34022
34023;34023
34024;34027
34025;34025
34026;34022
34027;34027
34028;34042
34029;34041
34030;34042
34031;34003
34032;34027
34033;34022
34034;34042
34035;34040
34036;34043
34037;34002
34038;34002
34039;34003
34040;34040
34041;34041
34042;34042
34302;34041
34322;34013
34323;34013
34352;34022
34353;34022
34354;34022
34372;34027
34392;34009
34452;34040
34453;34040
35001;35006
35002;35002
35003;35006
35004;35014
35005;35005
35006;35006
35007;35029
35008;35011
35009;35011
35010;35011
35011;35011
35012;35005
35013;35013
35014;35014
35015;35014
35016;35011
35017;35011
35018;35011
35019;35005
35020;35013
35021;35029
35022;35011
35023;35014
35024;35011
35025;32010
35026;35013
35027;35005
35302;35002
35322;35011
35323;35011
35382;35013
35383;35013
35384;35013
35385;35013
35386;35013
35391;35013
36001;37020
36003;36012
36005;36006
36006;36006
36007;36007
36008;36008
36009;36008
36010;36010
36011;36011
36012;36012
36013;36015
36014;36019
36015;36015
36016;36010
36017;36015
36018;36010
36019;36019
36020;36019
36302;36015
36492;36008
36493;36008
36494;36008
36502;36015
36503;36015
36504;36015
36505;36015
37001;37015
37002;37002
37003;37011
37004;37015
37005;37020
37006;37002
37007;37007
37008;37002
37009;37017
37010;37010
37011;37011
37012;37012
37013;37015
37014;37017
37015;37015
37016;37002
37017;37017
37018;37018
37019;37018
37302;37015
37303;37015
37322;37007
38001;38008
38002;38002
38003;38025
38004;38002
38005;38025
38006;38025
38007;38025
38008;38008
38009;38025
38010;38002
38011;38002
38012;38025
38013;38002
38014;38014
38015;38002
38016;38016
38017;38002
38018;38014
38019;32003
38020;38016
38021;38016
38022;38002
38023;38002
38024;38025
38025;38025
38026;38025
38027;38014
38028;38025
38029;38025
38342;38014
38343;38014
38352;38008
38368;38025
38402;38016
38502;38014
41001;41082
41002;41002
41003;41048
41004;41048
41005;41002
41006;41082
41007;41063
41008;41027
41009;41082
41010;41024
41011;41011
41012;41048
41013;41081
41014;41002
41015;41082
41016;41082
41017;41081
41018;41018
41019;41002
41020;41081
41021;41018
41022;41018
41023;41081
41024;41024
41025;41024
41026;41002
41027;41027
41028;41027
41029;41002
41030;41011
41031;41018
41032;41034
41033;41024
41034;41034
41035;41081
41036;41063
41037;41048
41038;41048
41039;41002
41040;41082
41041;41018
41042;41002
41043;41018
41044;41048
41045;41048
41046;41018
41047;41002
41048;41048
41049;41048
41050;41018
41052;41034
41053;41018
41054;41082
41055;41048
41056;41018
41057;41048
41058;41027
41059;41018
41060;41027
41061;41081
41062;41027
41063;41063
41065;41018
41066;41034
41067;41027
41068;41081
41069;41081
41070;41018
41071;41082
41072;41063
41073;41048
41074;41018
41075;41034
41076;41011
41077;41027
41078;41018
41079;41018
41080;41063
41081;41081
41302;41002
41303;41002
41304;41002
41342;41002
41362;41048
41402;41011
42001;42006
42002;42006
42003;42003
42004;42004
42005;42011
42006;42006
42007;42006
42008;42008
42009;42010
42010;42010
42011;42011
42012;42025
42013;42006
42014;42008
42016;42006
42017;42003
42018;42026
42019;42006
42020;42026
42021;42006
42022;42003
42023;42023
42024;42025
42025;42025
42026;42026
42027;42011
42028;42028
42302;42025
42303;42025
42322;42011
42342;42023
42402;42028
42403;42028
42452;42008
42522;42004
43001;43010
43002;43002
43003;43002
43004;43002
43005;43005
43006;44019
43007;43007
43009;43007
43010;43010
43011;43010
43012;43002
43013;43014
43014;43014
43015;43014
43016;43014
43017;43014
43018;43018
43302;43018
43322;43010
43352;43005
43502;43010
43503;43010
44001;44084
44002;44021
44003;44020
44004;44083
44005;44020
44006;44083
44007;44052
44008;44034
44009;44084
44010;44043
44011;44083
44012;44012
