Nature;nis_indeling
1;1A
2;1B
3;1C
4;1D
5;1E
6;1C
7;1B
8;1H
9;1G
10;1F
11;1F
13;1E
14;1E
17;1I
18;1J
20;1J
21;1J
22;1J
24;1K
25;1K
26;1K
27;1K
28;1K
29;1K
30;1K
33;1L
34;1L
35;1H
36;1H
38;1H
39;1H
41;1H
42;1H
43;1H
44;1H
45;1H
46;1M
49;1M
50;1M
51;1M
52;1M
54;1M
55;1M
56;1M
57;1M
59;1K
62;1P
63;1P
67;1O
68;1O
69;1O
70;1N
71;1P
72;1P
73;1P
74;1P
75;1P
76;1K
77;1P
78;1N
79;1P
80;1O
164;2A2
165;2A2
166;2A2
200;2C
201;2C
202;2C
203;2D
204;2D
205;2D
206;2D
220;2A1
221;2A1
222;2B
223;2C
240;2C
241;2E
242;2E
243;2E
244;2E
245;2F
246;2E
247;2E
260;2G
261;2G
262;2G
263;2G
264;2G
265;2G
280;2G
281;2G
282;2G
283;2G
284;2G
285;2G
286;2G
287;2G
288;2G
289;2G
290;2G
300;2G
301;2G
302;2G
303;2G
304;2G
305;2G
306;2G
320;2G
321;2G
322;2G
323;2G
324;2G
340;2G
342;2G
343;2G
344;2G
345;2G
346;2G
347;2G
348;2G
349;2G
350;2G
351;2G
352;2G
353;2G
354;2G
355;2G
357;2G
370;2H
371;2H
372;2M
373;2M
374;2M
375;2M
376;2G
377;2G
378;2O
379;2G
380;2G
381;2G
382;2G
400;2I
401;2I
402;2I
403;2J
404;2J
405;2J
406;2Q
407;2K
408;2K
409;2K
410;2K
411;2K
412;2K
413;2K
414;2K
415;2K
420;2L
421;2L
422;2L
423;2L
424;2L
425;2L
426;2L
427;2L
428;2M
429;2M
430;2M
431;2M
432;2M
433;2N
434;2L
440;2N
441;2N
442;2N
443;2N
444;2N
445;2N
446;2N
460;2O
461;2O
462;2O
463;2O
480;2P
481;2P
482;2P
483;2P
484;2P
485;2P
486;2P
487;2P
488;2P
489;2P
500;2Q
501;2Q
502;2Q
503;2Q
504;2Q
505;2Q
506;2Q
507;2Q
508;2Q
509;2Q
510;2Q
520;2S
521;2T
522;2Q
523;2R
524;2R
525;2R
526;2R
527;2R
528;2M
529;2M
530;2M
531;2M
532;2A1
533;2A1
534;2A1
535;2A1
536;2A1
537;2A1
538;2A1
539;2T
540;1P
541;1P
542;2A1
543;2A1
544;2A1
545;2A1
546;2A1
547;2A1
549;2A1
550;2A1
551;1N
552;2A1
555;2A1
